,PERIOD_ENDING_DATE,PREDICTED_VOLUME,PREDICTED_VALUE,RECORD_TYPE
0,2021-07-01,734658740.34,51733493.04,FORECASTED
1,2021-08-01,723748888.79,50965238.75,FORECASTED
2,2021-09-01,712629759.6,50182247.46,FORECASTED
3,2021-10-01,740943563.37,52176060.22,FORECASTED
4,2021-11-01,693058436.22,48804066.19,FORECASTED
5,2021-12-01,709584115.89,49967778.11,FORECASTED
6,2022-01-01,768852444.87,54141359.0,FORECASTED
7,2022-02-01,711267817.66,50086341.69,FORECASTED
8,2022-03-01,767608326.95,54053750.21,FORECASTED
9,2022-04-01,736642970.67,51873219.37,FORECASTED
10,2022-05-01,724743487.15,51035276.78,FORECASTED
11,2022-06-01,728394801.57,51292396.49,FORECASTED
12,2022-07-01,742367205.49,52276310.82,FORECASTED
13,2022-08-01,733825187.22,51674795.56,FORECASTED
14,2022-09-01,737342329.55,51922467.1,FORECASTED
15,2022-10-01,738664771.85,52015591.37,FORECASTED
16,2022-11-01,704560896.22,49614051.01,FORECASTED
17,2022-12-01,707994785.18,49855859.98,FORECASTED
18,2023-01-01,771794345.59,54348522.95,FORECASTED
19,2023-02-01,706018532.53,49716695.43,FORECASTED
20,2023-03-01,769627819.08,54195959.62,FORECASTED
21,2023-04-01,737094268.83,51904999.06,FORECASTED
22,2023-05-01,724725883.02,51034037.12,FORECASTED
23,2023-06-01,728394801.57,51292396.49,FORECASTED
